0,1,2,3,4,5,6
NaN,NaN,NaN,NaN,NaN,NaN,NaN
2454994.880093,7546.634,92.18,NaN,NaN,NaN,NaN
2455100.683588,-258.196,43.286,NaN,NaN,NaN,NaN
2455101.7011,-256.212,47.004,NaN,NaN,NaN,NaN
2455103.674109,-335.768,37.372,NaN,NaN,NaN,NaN
2455128.649815,-524.288,43.934,NaN,NaN,NaN,NaN
2455129.663229,-396.839,43.038,NaN,NaN,NaN,NaN
2455283.981042,-341.144,54.119,NaN,NaN,NaN,NaN
2455290.979977,-441.836,34.645,NaN,NaN,NaN,NaN
2455291.94838,-481.52,56.102,NaN,NaN,NaN,NaN
2455292.962303,-424.118,55.805,NaN,NaN,NaN,NaN
2455341.862882,-340.823,36.931,NaN,NaN,NaN,NaN
2455342.820764,-375.926,45.031,NaN,NaN,NaN,NaN
2455343.895197,-347.679,42.501,NaN,NaN,NaN,NaN
2455344.861331,-437.644,50.832,NaN,NaN,NaN,NaN
2455345.823843,-400.828,55.153,NaN,NaN,NaN,NaN
2455346.851887,-445.62,42.583,NaN,NaN,NaN,NaN
2455347.831956,-459.525,48.727,NaN,NaN,NaN,NaN
2455383.919225,-576.619,NaN,NaN,NaN,NaN,NaN
2455431.842755,-223.291,52.456,NaN,NaN,NaN,NaN
2455441.799919,-389.828,61.023,NaN,NaN,NaN,NaN
2455468.747963,-88.93,52.378,NaN,NaN,NaN,NaN
2455496.609433,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN
